Date	Product	Sales Amount	Quantity Sold
2023-05-06	Clothing	258	4
2023-09-01	Clothing	326	8
2023-02-24	Electronics	477	8
2023-09-13	Edibles	333	10
2023-10-23	Clothing	306	8
2023-06-06	Tools	194	1
2023-05-06	Electronics	60	9
2023-02-19	Economics	495	5
2023-04-16	Economics	175	3
2023-11-14	Economics	382	10
2023-02-16	Electronics	406	9
2023-09-02	Economics	430	4
2023-01-23	Tools	247	2
2023-10-26	Tools	53	3
2023-01-22	Edibles	430	9
2023-10-14	Edibles	222	1
2023-09-04	Electronics	346	4
2023-04-19	Edibles	161	3
2023-06-02	Tools	490	1
2023-08-05	Economics	104	4
2023-11-02	Clothing	494	7
2023-11-24	Tools	132	6
2023-10-03	Tools	169	9
2023-11-10	Tools	444	8
2023-05-19	Electronics	327	9
2023-06-26	Edibles	339	10
2023-08-03	Electronics	349	1
2023-11-16	Electronics	260	6
2023-03-21	Clothing	150	7
2023-06-22	Clothing	243	10
2023-07-18	Clothing	332	4
2023-09-03	Electronics	425	3
2023-09-23	Clothing	421	10
2023-11-04	Clothing	485	1
2023-12-17	Electronics	276	2
2023-12-28	Economics	122	6
2023-11-11	Clothing	167	7
2023-03-13	Economics	406	3
2023-05-14	Electronics	227	9
2023-07-03	Electronics	183	8
2023-09-06	Tools	241	3
2023-02-18	Tools	387	7
2023-06-06	Edibles	446	8
2023-06-11	Economics	306	6
2023-01-23	Economics	357	9
2023-03-26	Economics	410	10
2023-05-28	Tools	235	10
2023-02-04	Clothing	301	8
2023-03-07	Clothing	172	2
2023-02-25	Edibles	478	8
2023-06-19	Clothing	456	7
2023-06-25	Clothing	426	3
2023-12-19	Edibles	289	7
2023-05-08	Economics	489	3
2023-08-11	Economics	424	6
2023-10-06	Economics	186	3
2023-03-10	Clothing	391	3
2023-02-21	Economics	354	6
2023-03-11	Edibles	248	8
2023-10-28	Economics	461	3
2023-11-22	Clothing	118	7
2023-09-17	Economics	213	9
2023-09-24	Edibles	451	3
2023-08-20	Edibles	453	10
2023-05-06	Tools	353	3
2023-03-16	Economics	162	1
2023-01-05	Economics	436	4
2023-03-27	Clothing	56	5
2023-05-19	Economics	430	9
2023-09-04	Edibles	311	1
2023-02-27	Edibles	493	1
2023-11-20	Electronics	151	10
2023-11-03	Edibles	99	8
2023-11-19	Tools	369	8
2023-10-04	Clothing	351	7
2023-12-22	Edibles	371	10
2023-05-27	Electronics	419	8
2023-09-24	Economics	165	10
2023-04-18	Clothing	245	8
2023-03-15	Economics	497	4
2023-07-05	Tools	236	2
2023-04-07	Clothing	306	8
2023-04-19	Edibles	165	3
2023-10-13	Edibles	475	8
2023-03-23	Clothing	499	9
2023-01-05	Clothing	467	3
2023-05-23	Clothing	489	1
2023-05-22	Edibles	61	2
2023-12-02	Tools	413	1
2023-02-13	Clothing	470	9
2023-05-21	Tools	432	6
2023-08-25	Electronics	154	5
2023-04-16	Edibles	394	7
2023-01-08	Economics	442	10
2023-02-21	Electronics	362	9
2023-09-07	Electronics	149	2
2023-07-05	Economics	408	5
2023-02-17	Electronics	59	4
2023-12-12	Economics	427	6
2023-04-13	Clothing	174	3
2023-01-20	Electronics	316	5
2023-03-02	Edibles	493	7
2023-11-02	Clothing	165	2
2023-02-01	Clothing	99	4
2023-07-28	Tools	279	10
2023-10-06	Tools	268	8
2023-05-28	Economics	184	1
2023-05-06	Clothing	63	2
2023-12-18	Clothing	80	1
2023-04-28	Edibles	241	3
2023-06-03	Economics	323	5
2023-02-02	Edibles	260	6
2023-12-24	Edibles	283	7
2023-10-11	Clothing	391	6
2023-04-09	Economics	144	10
2023-03-05	Tools	217	7
2023-11-18	Electronics	275	10
2023-03-14	Economics	88	5
2023-11-22	Edibles	109	5
2023-09-09	Electronics	494	3
2023-07-10	Clothing	111	3
2023-07-16	Tools	120	4
2023-04-02	Tools	409	1
2023-11-25	Tools	450	8
2023-02-26	Edibles	100	6
2023-04-10	Electronics	314	6
2023-03-16	Economics	456	8
2023-09-08	Edibles	456	1
2023-06-27	Economics	184	9
2023-12-05	Edibles	321	2
2023-11-12	Economics	163	1
2023-03-04	Edibles	254	2
2023-03-02	Electronics	191	10
2023-10-14	Economics	473	5
2023-12-27	Tools	474	2
2023-12-08	Electronics	342	1
2023-11-26	Electronics	307	5
2023-07-08	Edibles	351	3
2023-08-07	Tools	129	9
2023-12-12	Tools	105	8
2023-07-17	Clothing	484	5
2023-07-04	Edibles	106	4
2023-11-01	Tools	158	8
2023-01-27	Economics	426	1
2023-06-02	Tools	120	9
2023-04-01	Clothing	463	4
2023-08-24	Economics	454	6
2023-11-20	Clothing	275	1
2023-10-08	Economics	481	10
2023-08-01	Tools	335	4
2023-07-25	Economics	165	2
2023-12-05	Clothing	144	1
2023-11-05	Economics	404	9
2023-02-04	Edibles	140	7
2023-11-22	Tools	68	9
2023-01-01	Electronics	158	8
2023-09-08	Electronics	69	4
2023-11-19	Economics	416	10
2023-08-11	Economics	406	8
2023-05-23	Electronics	353	10
2023-07-07	Economics	100	6
2023-06-03	Economics	335	8
2023-05-24	Economics	121	5
2023-07-14	Electronics	483	5
2023-08-10	Edibles	415	4
2023-04-03	Edibles	205	9
2023-08-06	Clothing	220	6
2023-07-14	Clothing	61	1
2023-09-01	Electronics	468	4
2023-05-21	Economics	419	5
2023-06-11	Electronics	385	9
2023-10-17	Electronics	397	9
2023-10-14	Clothing	176	10
2023-04-17	Edibles	69	10
2023-08-11	Economics	490	2
2023-04-06	Electronics	384	5
2023-09-03	Tools	146	10
2023-05-02	Tools	101	4
2023-10-20	Electronics	437	2
2023-09-12	Tools	443	1
2023-12-04	Edibles	116	6
2023-02-01	Electronics	146	7
2023-07-27	Edibles	214	2
2023-02-13	Clothing	420	2
2023-07-15	Edibles	251	3
2023-12-18	Edibles	494	7
2023-04-14	Economics	407	2
2023-12-26	Economics	352	4
2023-08-20	Clothing	226	8
2023-07-25	Electronics	341	1
2023-04-12	Clothing	344	8
2023-09-28	Electronics	395	5
2023-09-04	Economics	329	9
2023-05-08	Economics	123	3
2023-06-08	Edibles	483	10
2023-04-19	Edibles	212	8
2023-05-10	Clothing	428	7
2023-10-19	Edibles	346	10
2023-11-28	Clothing	114	3
2023-02-05	Electronics	368	3
2023-01-16	Edibles	56	5
2023-10-02	Clothing	150	6
2023-11-22	Edibles	452	6
2023-11-06	Edibles	134	2
2023-07-05	Clothing	121	5
2023-11-16	Electronics	113	7
2023-07-22	Clothing	355	1
2023-12-26	Economics	228	6
2023-07-28	Electronics	440	6
2023-06-24	Economics	94	5
2023-08-13	Clothing	429	4
2023-11-10	Clothing	190	7
2023-06-22	Electronics	242	2
2023-01-22	Edibles	252	10
2023-09-03	Clothing	80	5
2023-04-10	Electronics	141	4
2023-04-26	Economics	415	9
2023-02-27	Edibles	184	9
2023-03-03	Clothing	416	4
2023-11-03	Edibles	488	1
2023-02-09	Electronics	140	10
2023-08-28	Clothing	124	8
2023-07-16	Tools	158	7
2023-05-13	Edibles	413	9
2023-10-09	Edibles	481	7
2023-07-14	Economics	100	2
2023-12-07	Clothing	117	10
2023-06-26	Economics	485	7
2023-02-05	Electronics	208	3
2023-03-21	Tools	235	2
2023-09-19	Tools	96	8
2023-07-26	Edibles	141	1
2023-12-04	Tools	158	2
2023-12-14	Tools	59	1
2023-07-14	Clothing	224	10
2023-12-13	Electronics	104	1
2023-05-05	Tools	148	5
2023-10-08	Clothing	294	4
2023-12-14	Electronics	460	3
2023-04-12	Electronics	378	8
2023-03-20	Clothing	218	2
2023-12-25	Edibles	308	7
2023-04-09	Tools	414	4
2023-01-24	Economics	382	5
2023-05-15	Electronics	408	6
2023-02-12	Edibles	288	5
2023-11-17	Clothing	148	4
2023-05-13	Economics	467	8
2023-12-06	Clothing	178	6
2023-04-19	Tools	113	8
2023-02-26	Edibles	320	10
2023-05-28	Electronics	423	4
2023-12-13	Tools	320	8
2023-06-27	Clothing	177	4
2023-05-04	Tools	492	8
2023-10-02	Clothing	315	2
2023-05-09	Electronics	267	1
2023-11-17	Tools	348	4
2023-11-09	Economics	135	4
2023-02-14	Economics	309	4
2023-05-11	Clothing	371	2
2023-08-21	Tools	162	6
2023-07-24	Edibles	250	1
2023-12-16	Clothing	496	3
2023-08-01	Economics	337	6
2023-04-22	Edibles	482	5
2023-10-05	Edibles	93	2
2023-08-27	Tools	298	6
2023-01-19	Tools	56	4
2023-05-07	Clothing	302	4
2023-01-22	Electronics	280	2
2023-07-23	Tools	371	5
2023-06-06	Edibles	291	9
2023-05-06	Clothing	239	3
2023-11-27	Clothing	474	10
2023-07-24	Economics	293	9
2023-09-02	Clothing	437	5
2023-02-03	Tools	188	1
2023-02-23	Tools	226	5
2023-06-13	Clothing	326	7
2023-10-04	Electronics	327	1
2023-04-25	Economics	286	8
2023-05-16	Electronics	287	3
2023-11-24	Economics	396	10
2023-04-26	Clothing	131	4
2023-08-28	Edibles	164	10
2023-10-15	Economics	332	8
2023-01-03	Tools	182	1
2023-05-20	Electronics	270	6
2023-07-06	Tools	182	5
2023-02-01	Economics	291	1
2023-05-11	Tools	216	4
2023-12-27	Electronics	75	8
2023-08-28	Economics	230	3
2023-10-11	Electronics	149	4
2023-09-26	Electronics	399	4
2023-09-24	Economics	163	5
2023-01-19	Electronics	354	1
2023-02-20	Tools	325	2
2023-07-02	Edibles	236	5
2023-12-19	Tools	253	4
2023-01-02	Clothing	464	10
2023-07-23	Edibles	452	4
2023-12-01	Edibles	76	10
2023-09-27	Electronics	117	9
2023-05-28	Tools	412	2
2023-08-06	Economics	257	10
2023-11-26	Tools	280	1
2023-06-14	Economics	404	1
2023-12-21	Economics	309	7
2023-07-23	Edibles	378	10
2023-06-08	Electronics	156	4
2023-04-03	Electronics	143	3
2023-02-25	Clothing	248	7
2023-09-12	Edibles	293	7
2023-04-10	Electronics	468	6
2023-08-10	Electronics	69	6
2023-07-11	Tools	459	2
2023-03-10	Economics	482	8
2023-09-27	Clothing	165	7
2023-11-28	Electronics	434	4
2023-04-12	Economics	248	7
2023-02-18	Economics	348	1
2023-03-19	Edibles	189	2
2023-10-16	Edibles	453	3
2023-04-10	Tools	228	6
2023-03-21	Clothing	153	5
2023-03-27	Edibles	345	1
2023-06-27	Clothing	268	3
2023-01-07	Tools	68	6
2023-01-15	Electronics	400	10
2023-03-28	Electronics	451	9
2023-09-09	Edibles	126	1
2023-06-28	Tools	473	2
2023-12-28	Tools	221	1
2023-11-20	Tools	117	7
2023-11-25	Edibles	223	2
2023-11-21	Electronics	307	4
2023-04-08	Edibles	356	5
2023-01-02	Clothing	306	6
2023-05-06	Electronics	413	7
2023-06-05	Tools	213	7
2023-07-03	Tools	376	9
2023-07-11	Edibles	117	4
2023-03-25	Edibles	72	4
2023-04-26	Electronics	148	8
2023-06-19	Economics	449	7
2023-07-12	Clothing	86	9
2023-10-14	Clothing	257	7
2023-05-25	Electronics	293	6
2023-02-10	Edibles	138	2
2023-03-18	Clothing	305	3
2023-03-20	Electronics	470	7
2023-12-22	Economics	291	4
2023-01-02	Electronics	190	4
2023-10-11	Clothing	94	10
2023-10-04	Tools	114	10
2023-07-02	Edibles	460	9
2023-04-11	Tools	69	2
2023-06-10	Clothing	175	8
2023-07-22	Electronics	478	2
2023-02-23	Economics	419	10
2023-11-17	Electronics	292	8
2023-01-19	Electronics	495	5
2023-11-04	Edibles	469	7
2023-02-28	Tools	118	5
2023-08-22	Economics	163	9
2023-02-12	Tools	236	5
2023-06-24	Economics	453	6
2023-02-21	Economics	80	4
2023-08-28	Economics	183	3
2023-12-07	Clothing	279	6
2023-04-10	Clothing	380	8
2023-10-27	Tools	212	7
2023-05-26	Electronics	58	10
2023-08-22	Clothing	311	3
2023-12-17	Electronics	87	6
2023-06-13	Edibles	126	4
2023-04-17	Economics	220	5
2023-09-11	Tools	500	6
2023-07-06	Electronics	346	7
2023-04-07	Tools	447	4
2023-07-21	Clothing	224	8
2023-09-19	Clothing	456	7
2023-07-10	Electronics	61	10
2023-12-01	Electronics	241	7
2023-08-09	Tools	259	5
2023-09-15	Clothing	380	8
2023-03-23	Tools	352	2
2023-07-02	Clothing	164	4
2023-12-07	Tools	273	7
2023-02-17	Clothing	380	6
2023-10-02	Economics	215	2
2023-03-04	Clothing	212	3
2023-09-13	Tools	404	5
2023-04-26	Clothing	121	1
2023-07-25	Clothing	257	8
2023-05-13	Tools	397	6
2023-06-21	Economics	62	7
2023-09-25	Edibles	276	10
2023-08-09	Edibles	326	2
2023-09-18	Edibles	432	7
2023-05-18	Electronics	347	1
2023-02-26	Economics	401	7
2023-02-21	Economics	329	4
2023-08-23	Electronics	237	7
2023-03-20	Electronics	385	5
2023-08-05	Tools	382	7
2023-03-07	Tools	75	3
2023-08-26	Clothing	241	4
2023-01-26	Tools	360	7
2023-05-19	Clothing	218	4
2023-07-23	Clothing	150	7
2023-10-19	Edibles	360	2
2023-09-23	Tools	451	7
2023-12-11	Clothing	193	10
2023-04-26	Clothing	259	9
2023-05-25	Edibles	139	5
2023-01-16	Economics	154	2
2023-02-26	Economics	65	5
2023-07-26	Tools	247	8
2023-09-06	Clothing	495	3
2023-01-07	Clothing	133	2
2023-12-06	Electronics	429	2
2023-10-05	Edibles	274	2
2023-02-18	Electronics	111	5
2023-03-24	Tools	496	4
2023-02-19	Electronics	68	5
2023-04-01	Electronics	394	3
